Date,Min_Temp,Max_Temp,Humidity,Wind_Speed,Solar_Irradiance,Sun,Kc,ETc,ETo,Rainfall,Water_Need_1day,Water_Need_2days,Water_Need_3days
21-Mar,17.1,38.7,68.0,5.1,12.6,27.8,0.8,8.16,6.53,0.0,0.0,26.112,54.912
22-Mar,19.1,29.8,79.0,5.1,7.2,19.6,0.8,4.57,3.66,0.0,0.0,14.624,0.0
23-Mar,17.4,29.2,81.0,5.1,7.8,20.6,0.8,4.44,3.55,0.0,0.0,14.208,28.831999999999997
24-Mar,16.4,30.2,76.0,5.1,8.9,22.3,0.8,5.16,4.13,0.0,0.0,16.512,0.0
25-Mar,17.00178676243491,36.575713446727924,54.51651462073403,5.834085983308169,11.808649119325594,26.866495215132854,0.8259669117575953,8.835184546566468,8.275015006552502,-0.00017999252304434776,0.0002964473096653819,33.25195757865938,31.846608965220444
26-Mar,17.00647457219431,36.57269969911351,53.35644058173982,5.8116755742372055,11.811721250293376,26.809932688558305,0.8411111787861532,8.816789276955808,8.276396397993272,-0.0007298155687749386,0.0010785458143800497,33.21404670229862,29.444256227537217
27-Mar,17.202067922137214,36.73675860763798,53.976302030648895,5.573351210334002,11.80096968896982,26.92861411760739,0.7559614070354984,8.743830534661928,8.096993853899034,-0.0036674998700618744,0.009398111142218113,24.70963287325634,-25.74929270188072
28-Mar,16.99934566185296,36.57642948741687,54.47131109072283,5.7883050667520015,11.807362921404826,26.776804739135176,0.8432304970290848,8.791589112281818,8.275011379496636,0.00034059095196425915,0.002124625723809004,33.17822189634277,32.851877750492996
29-Mar,17.202731555767137,36.71694796357286,51.68972976174035,5.313619943033263,11.854180621240657,27.04640799390232,0.7747357994978322,8.870456053685079,8.105108268520382,0.0009059982839971781,0.019310465082526207,39.94556931940292,-18.95743886462226
30-Mar,17.5,33.5,68.0,6.7,10.0,23.9,0.8,7.02,5.62,0.0,0.0,22.464000000000002,0.0
31-Mar,17.1,30.2,73.0,6.7,8.5,21.7,0.8,5.62,4.5,0.0,0.0,17.984,40.448
1-Apr,16.0,33.6,68.0,6.8,10.8,25.1,0.8,7.21,5.77,0.0,0.0,23.072,0.0
2-Apr,17.4,36.8,63.0,6.8,12.1,28.1,1.15,8.85,10.18,0.0,0.0,40.71,63.782
3-Apr,18.2,33.7,62.0,5.3,9.8,23.6,1.15,6.99,8.04,0.0,0.0,32.154,0.0
4-Apr,18.1,31.5,71.0,6.8,9.1,23.4,1.15,5.96,6.85,0.0,0.0,27.416,59.57
5-Apr,18.4,31.5,68.0,5.4,8.9,23.1,1.15,6.19,7.12,0.0,0.0,28.474,0.0
6-Apr,17.1,34.6,67.0,6.8,10.8,25.0,1.15,7.52,8.65,0.0,0.0,34.592,63.066
7-Apr,17.7,36.7,57.0,5.4,11.9,27.8,1.15,8.75,10.06,0.0,0.0,40.25,0.0
8-Apr,17.9,37.3,83.0,5.4,12.1,28.1,1.15,6.87,7.9,0.0,0.0,31.601999999999997,71.852
9-Apr,18.6,39.7,43.0,5.4,12.9,29.4,1.15,10.68,12.28,0.0,0.0,49.128,0.0
10-Apr,18.9,40.3,40.0,5.4,13.0,29.5,1.15,11.07,12.73,0.0,0.0,50.922,100.05
11-Apr,18.5,39.0,53.0,5.4,12.6,28.9,1.15,9.68,11.13,0.0,0.0,44.528,0.0
12-Apr,17.6,37.9,60.0,5.4,12.5,28.8,1.15,8.86,10.19,0.0,0.0,40.756,85.28399999999999
13-Apr,16.3,36.9,66.0,5.5,12.7,29.0,1.15,8.3,9.55,0.0,0.0,38.18,0.0
14-Apr,16.0,39.5,59.0,5.5,14.0,31.0,1.15,9.7,11.16,0.0,0.0,44.62,82.8
15-Apr,11.9,41.3,66.0,5.5,16.3,34.6,1.15,10.31,11.86,0.0,0.0,47.426,0.0
16-Apr,16.0,40.7,69.0,5.5,14.4,31.7,1.15,9.36,10.76,0.0,0.0,43.056000000000004,90.48200000000001
17-Apr,16.8,37.6,74.0,5.5,12.8,29.1,1.15,7.79,8.96,0.0,0.0,35.834,0.0
18-Apr,17.5,33.7,78.0,5.5,10.5,25.7,1.15,6.12,7.04,0.0,0.0,28.151999999999997,63.986000000000004
19-Apr,17.111329362445655,36.574244287657265,58.993116638362686,5.651650947991829,11.864704632478682,27.348679263429684,1.0007295014894761,7.72,8.88,0.0,0.0,35.512,0.0
20-Apr,18.313933856977044,37.80137529435749,46.20779860420174,5.83603614991737,11.852067457608266,27.581574002904,1.0657167693248208,9.34,10.74,0.0,0.0,42.964,78.476
21-Apr,17.011535010930594,36.580930671149524,54.20704665059948,5.812555961007338,11.815452060330534,26.777223468569986,0.8822272828492653,8.12,9.34,0.0,0.0,37.352,0.0
22-Apr,16.942474197016466,36.49025300212535,57.59266141174456,5.728462104398387,11.639922161020504,26.443406147173146,0.8771888567657178,5.8,6.67,0.0,0.0,26.68,64.032
23-Apr,16.9438956938414,36.63022955125424,57.603543414275634,5.669728951653834,11.77810868380173,26.374691849439774,0.8776738141820564,5.48,6.3,0.0,0.0,25.208000000000002,0.0
24-Apr,16.3,34.1,78.0,5.5,11.4,27.0,1.15,6.41,7.37,0.0,0.0,29.486,54.693999999999996
25-Apr,16.6,41.1,59.0,5.5,14.4,31.6,1.15,10.21,11.74,0.0,0.0,46.966,0.0
26-Apr,18.5,41.7,53.0,5.5,13.8,30.7,1.15,10.68,12.28,0.0,0.0,49.128,96.094
27-Apr,21.8,35.0,53.0,5.5,8.9,23.2,1.15,8.21,9.44,0.0,0.0,37.766,0.0
28-Apr,20.1,44.8,50.0,5.5,14.5,31.7,1.15,11.9,13.69,0.0,0.0,54.74,92.506
29-Apr,20.0,40.9,58.0,5.5,12.8,29.2,1.15,9.85,11.33,0.0,0.0,45.31,0.0
30-Apr,18.8,38.0,59.0,5.5,12.0,28.0,1.15,8.91,10.25,0.0,0.0,40.986000000000004,86.296
1-May,17.5,33.7,78.0,5.5,10.5,25.7,1.15,6.13,7.05,0.0,0.0,28.198,0.0
2-May,17.2,29.4,80.0,5.5,8.7,22.8,1.15,4.95,5.69,0.0,0.0,22.77,50.968
3-May,17.2,29.8,78.0,5.5,8.9,23.1,1.15,5.2,5.98,0.0,0.0,23.92,0.0
4-May,16.2,30.7,79.0,5.5,10.0,24.9,1.15,5.49,6.31,0.0,0.0,25.254,49.174
5-May,17.6,34.8,77.0,5.5,11.5,27.1,1.15,6.73,7.74,0.0,0.0,30.958000000000002,0.0
6-May,17.9,38.0,69.0,5.5,12.9,29.3,1.15,8.4,9.66,0.0,0.0,38.64,69.598
7-May,19.2,43.1,62.0,5.5,14.7,31.9,1.15,10.66,12.26,0.0,0.0,49.036,0.0
8-May,19.2,45.6,53.0,5.5,15.7,33.5,1.15,12.3,14.15,0.0,0.0,56.58,105.616
9-May,21.3,45.2,53.0,5.5,14.6,31.9,1.15,11.95,13.74,0.0,0.0,54.97,0.0
