Date,Min_Temp,Max_Temp,Humidity,Wind_Speed,Solar_Irradiance,Sun,Kc,ETc,ETo,Rainfall,Water_Need_1day,Water_Need_2days,Water_Need_3days
29-Mar,17.147852362101705,36.69639421580316,51.180285568147106,5.361707648469645,11.810833201968453,27.094948928413174,0.748402485148584,9.009780589112598,8.161179390024756,0.0017460216768085957,29.655445877826082,5.905826647879053,30.61288811506671
30-Mar,17.5,33.5,68.0,6.7,10.0,23.9,0.8,7.02,5.62,0.0,22.464000000000002,0.0,22.464000000000002
31-Mar,17.1,30.2,73.0,6.7,8.5,21.7,0.8,5.62,4.5,0.0,17.984,40.448,0.0
1-Apr,16.0,33.6,68.0,6.8,10.8,25.1,0.8,7.21,5.77,0.0,23.072,0.0,0.0
2-Apr,17.4,36.8,63.0,6.8,12.1,28.1,1.15,8.85,10.18,0.0,40.71,63.782,81.766
3-Apr,18.2,33.7,62.0,5.3,9.8,23.6,1.15,6.99,8.04,0.0,32.154,0.0,0.0
4-Apr,18.1,31.5,71.0,6.8,9.1,23.4,1.15,5.96,6.85,0.0,27.416,59.57,0.0
5-Apr,18.4,31.5,68.0,5.4,8.9,23.1,1.15,6.19,7.12,0.0,28.474,0.0,88.044
6-Apr,17.1,34.6,67.0,6.8,10.8,25.0,1.15,7.52,8.65,0.0,34.592,63.066,0.0
7-Apr,17.7,36.7,57.0,5.4,11.9,27.8,1.15,8.75,10.06,0.0,40.25,0.0,0.0
8-Apr,17.9,37.3,83.0,5.4,12.1,28.1,1.15,6.87,7.9,0.0,31.601999999999997,71.852,106.444
9-Apr,18.6,39.7,43.0,5.4,12.9,29.4,1.15,10.68,12.28,0.0,49.128,0.0,0.0
10-Apr,18.9,40.3,40.0,5.4,13.0,29.5,1.15,11.07,12.73,0.0,50.922,100.05,0.0
11-Apr,18.5,39.0,53.0,5.4,12.6,28.9,1.15,9.68,11.13,0.0,44.528,0.0,144.578
12-Apr,17.6,37.9,60.0,5.4,12.5,28.8,1.15,8.86,10.19,0.0,40.756,85.28399999999999,0.0
13-Apr,16.3,36.9,66.0,5.5,12.7,29.0,1.15,8.3,9.55,0.0,38.18,0.0,0.0
14-Apr,16.0,39.5,59.0,5.5,14.0,31.0,1.15,9.7,11.16,0.0,44.62,82.8,123.556
15-Apr,11.9,41.3,66.0,5.5,16.3,34.6,1.15,10.31,11.86,0.0,47.426,0.0,0.0
16-Apr,16.0,40.7,69.0,5.5,14.4,31.7,1.15,9.36,10.76,0.0,43.056000000000004,90.48200000000001,0.0
17-Apr,16.8,37.6,74.0,5.5,12.8,29.1,1.15,7.79,8.96,0.0,35.834,0.0,126.316
18-Apr,17.5,33.7,78.0,5.5,10.5,25.7,1.15,6.12,7.04,0.0,28.151999999999997,63.986000000000004,0.0
19-Apr,16.898174207933618,36.78883337892106,55.01338575762512,6.033427279962515,11.932804262132967,27.147497861070015,0.7490307605337541,8.72401816627437,8.595222815059065,-0.004968516528606415,63.00600622263836,144.15067968317572,2.1108174281276213
20-Apr,17.223882544539226,36.7869926330916,56.32396223540284,6.008227543174307,11.705159057445114,26.847848148145992,0.7940050683100979,8.749922177637833,8.530751069380297,-0.007940318435430527,79.12980127307533,205.47461550401863,-21.587957609226606
21-Apr,17.012539367783074,36.57673593165046,54.3010470051926,5.81653383152058,11.816927600400199,26.72194221227282,0.8787993230937164,9.032122810759299,8.334901959448825,3.9293430745601654e-05,33.2538626265048,38.12638317231695,32.64302654595256
22-Apr,17.012217122736494,36.57651022267918,55.117656820658226,5.854366109924535,11.816800802282405,26.746676376182478,0.8680161350047537,8.919478002922679,8.334893821536062,0.0006177714094519615,33.55706776954519,30.839826572394266,31.451398295846307
23-Apr,17.008322241653715,36.57696557807584,53.63047324896134,5.807951812674896,11.818831021063595,26.677306407529688,0.8736701069030112,8.897274903060111,8.334957759688548,-7.4105337262153625e-06,33.44189477490703,37.21629008386358,29.59072467078325
24-Apr,16.3,34.1,78.0,5.5,11.4,27.0,1.15,6.41,7.37,0.0,29.486,54.693999999999996,0.0
25-Apr,16.6,41.1,59.0,5.5,14.4,31.6,1.15,10.21,11.74,0.0,46.966,0.0,0.0
26-Apr,18.5,41.7,53.0,5.5,13.8,30.7,1.15,10.68,12.28,0.0,49.128,96.094,125.58
27-Apr,21.8,35.0,53.0,5.5,8.9,23.2,1.15,8.21,9.44,0.0,37.766,0.0,0.0
28-Apr,20.1,44.8,50.0,5.5,14.5,31.7,1.15,11.9,13.69,0.0,54.74,92.506,0.0
29-Apr,20.0,40.9,58.0,5.5,12.8,29.2,1.15,9.85,11.33,0.0,45.31,0.0,137.816
30-Apr,18.8,38.0,59.0,5.5,12.0,28.0,1.15,8.91,10.25,0.0,40.986000000000004,86.296,0.0
1-May,17.5,33.7,78.0,5.5,10.5,25.7,1.15,6.13,7.05,0.0,28.198,0.0,0.0
2-May,17.2,29.4,80.0,5.5,8.7,22.8,1.15,4.95,5.69,0.0,22.77,50.968,91.954
3-May,17.2,29.8,78.0,5.5,8.9,23.1,1.15,5.2,5.98,0.0,23.92,0.0,0.0
4-May,16.2,30.7,79.0,5.5,10.0,24.9,1.15,5.49,6.31,0.0,25.254,49.174,0.0
5-May,17.6,34.8,77.0,5.5,11.5,27.1,1.15,6.73,7.74,0.0,30.958000000000002,0.0,80.132
6-May,17.9,38.0,69.0,5.5,12.9,29.3,1.15,8.4,9.66,0.0,38.64,69.598,0.0
7-May,19.2,43.1,62.0,5.5,14.7,31.9,1.15,10.66,12.26,0.0,49.036,0.0,0.0
8-May,19.2,45.6,53.0,5.5,15.7,33.5,1.15,12.3,14.15,0.0,56.58,105.616,144.256
9-May,21.3,45.2,53.0,5.5,14.6,31.9,1.15,11.95,13.74,0.0,54.97,0.0,0.0
